 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,untitled
Project Path,C:\Users\Richie\Desktop\4 semestre\DSD\ha
Project Fitted on,Fri Jun 16 17:54:36 2017

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
1,GND,-,,,,,,
2,TDI,-,,,,,,
3,VCCIO0,-,,,,,,
4,I_O,0,C12,*,LVCMOS18,Input,clk,
5,I_O,0,C10,,,,,
6,I_O,0,C8,,,,,
7,I_O,0,C6,,,,,
8,I_O,0,C4,,LVCMOS18,Tri-Out,displayd_3_,
9,I_O,0,C2,,LVCMOS18,Tri-Out,displayu_2_,
10,GNDIO0,-,,,,,,
11,I_O,0,D14,,,,,
12,I_O,0,D12,,LVCMOS18,Tri-Out,displayu_0_,
13,I_O,0,D10,,,,,
14,I_O,0,D8,,,,,
15,I_O,0,D6,,,,,
16,I_O,0,D4,,LVCMOS18,Tri-Out,displayd_1_,
17,IN0,0,,,,,,
18,NC,-,,,,,,
19,VCCIO0,-,,,,,,
20,IN1,0,,,,,,
21,I_O,0,E2,,LVCMOS18,Tri-Out,decenas_1_,
22,I_O,0,E4,,LVCMOS18,Tri-Out,unidades_0_,
23,I_O,0,E6,,,,,
24,I_O,0,E8,,,,,
25,I_O,0,E10,,,,,
26,I_O,0,E12,,,,,
27,GNDIO0,-,,,,,,
28,I_O,0,F2,,LVCMOS18,Tri-Out,decenas_0_,
29,I_O,0,F4,,,,,
30,I_O,0,F6,,,,,
31,I_O,0,F8,,,,,
32,I_O,0,F10,,,,,
33,I_O,0,F12,,,,,
34,VCCIO0,-,,,,,,
35,TCK,-,,,,,,
36,VCC,-,,,,,,
37,GND,-,,,,,,
38,IN2,0,,,,,,
39,I_O,0,G12,,,,,
40,I_O,0,G10,,,,,
41,I_O,0,G8,,,,,
42,I_O,0,G6,,,,,
43,I_O,0,G4,,,,,
44,I_O,0,G2,,LVCMOS18,Tri-Out,displayd_4_,
45,IN3,0,,,,,,
46,GNDIO0,-,,,,,,
47,VCCIO0,-,,,,,,
48,I_O,0,H12,,,,,
49,I_O,0,H10,,,,,
50,I_O,0,H8,,,,,
51,I_O,0,H6,,,,,
52,I_O,0,H4,,,,,
53,I_O,0,H2,,LVCMOS18,Tri-Out,displayd_6_,
54,INCLK1,0,,,,,,
55,GNDIO1,-,,,,,,
56,INCLK2,1,,,,,,
57,VCC,-,,,,,,
58,I_O,1,I2,,LVCMOS18,Tri-Out,displayu_5_,
59,I_O,1,I4,,,,,
60,I_O,1,I6,,,,,
61,I_O,1,I8,,,,,
62,I_O,1,I10,,,,,
63,I_O,1,I12,,,,,
64,VCCIO1,-,,,,,,
65,GNDIO1,-,,,,,,
66,I_O,1,J2,,LVCMOS18,Tri-Out,displayu_1_,
67,I_O,1,J4,,,,,
68,I_O,1,J6,,,,,
69,I_O,1,J8,,,,,
70,I_O,1,J10,,,,,
71,I_O,1,J12,,,,,
72,IN4,0,,,,,,
73,GND,-,,,,,,
74,TMS,-,,,,,,
75,VCCIO1,-,,,,,,
76,I_O,1,K12,,,,,
77,I_O,1,K10,,,,,
78,I_O,1,K8,,,,,
79,I_O,1,K6,,LVCMOS18,Tri-Out,displayd_2_,
80,I_O,1,K4,*,LVCMOS18,Output,salida_0_,
81,I_O,1,K2,*,LVCMOS18,Output,salida_1_,
82,GNDIO1,-,,,,,,
83,I_O,1,L14,*,LVCMOS18,Output,salida_2_,
84,I_O,1,L12,*,LVCMOS18,Output,salida_3_,
85,I_O,1,L10,*,LVCMOS18,Output,salida_4_,
86,I_O,1,L8,*,LVCMOS18,Output,salida_5_,
87,I_O,1,L6,*,LVCMOS18,Output,salida_6_,
88,I_O,1,L4,*,LVCMOS18,Output,salida_7_,
89,IN5,1,,,,,,
90,NC,-,,,,,,
91,VCCIO1,-,,,,,,
92,IN6,1,,,,,,
93,I_O,1,M2,,LVCMOS18,Tri-Out,displayu_3_,
94,I_O,1,M4,,LVCMOS18,Tri-Out,unidades_2_,
95,I_O,1,M6,*,LVCMOS18,Input,X_0_,
96,I_O,1,M8,*,LVCMOS18,Input,X_1_,
97,I_O,1,M10,,,,,
98,I_O,1,M12,,,,,
99,GNDIO1,-,,,,,,
100,I_O,1,N2,,LVCMOS18,Tri-Out,unidades_3_,
101,I_O,1,N4,,,,,
102,I_O,1,N6,,,,,
103,I_O,1,N8,,,,,
104,I_O,1,N10,,,,,
105,I_O,1,N12,,,,,
106,VCCIO1,-,,,,,,
107,TDO,-,,,,,,
108,VCC,-,,,,,,
109,GND,-,,,,,,
110,IN7,1,,,,,,
111,I_O,1,O12,,,,,
112,I_O,1,O10,,,,,
113,I_O,1,O8,,,,,
114,I_O,1,O6,,,,,
115,I_O,1,O4,,LVCMOS18,Tri-Out,displayd_5_,
116,I_O,1,O2,,LVCMOS18,Tri-Out,displayu_4_,
117,IN8,1,,,,,,
118,GNDIO1,-,,,,,,
119,VCCIO1,-,,,,,,
120,I_O,1,P12,,,,,
121,I_O,1,P10,,,,,
122,I_O,1,P8,,,,,
123,I_O,1,P6,,,,,
124,I_O,1,P4,,LVCMOS18,Output,ctrl_0_,
